# FPR TPR
0.000000 0.042597
0.000000 0.042630
0.000000 0.042697
0.000000 0.042731
0.000000 0.042914
0.000000 0.042948
0.000000 0.043115
0.000000 0.043148
0.000000 0.043165
0.000000 0.043199
0.000000 0.043215
0.000000 0.043249
0.000000 0.043299
0.000000 0.043332
0.000000 0.043533
0.000000 0.043566
0.000000 0.043850
0.000000 0.043917
0.000000 0.044017
0.000000 0.044051
0.000000 0.044251
0.000000 0.044318
0.000000 0.044485
0.000000 0.044552
0.000000 0.044652
0.000000 0.044719
0.000000 0.044736
0.000000 0.044769
0.000000 0.044886
0.000000 0.044987
0.000000 0.045087
0.000000 0.045120
0.000000 0.045221
0.000000 0.045254
0.000000 0.045354
0.000000 0.045388
0.000000 0.045455
0.000000 0.045488
0.000000 0.045605
0.000000 0.045655
0.000000 0.045889
0.000000 0.045922
0.000000 0.045939
0.000000 0.045973
0.000000 0.045989
0.000000 0.046023
0.000000 0.046190
0.000000 0.046223
0.000000 0.046257
0.000000 0.046290
0.000000 0.046424
0.000000 0.046457
0.000000 0.046507
0.000000 0.046541
0.000000 0.046641
0.000000 0.046691
0.000000 0.046708
0.000000 0.046741
0.000000 0.046791
0.000000 0.046825
0.000000 0.046842
0.000000 0.046875
0.000000 0.046892
0.000000 0.046959
0.000000 0.047243
0.000000 0.047276
0.000000 0.047326
0.000000 0.047360
0.000000 0.047527
0.000000 0.047560
0.000000 0.048028
0.000000 0.048061
0.000000 0.048479
0.000000 0.048513
0.000000 0.048613
0.000000 0.048680
0.000000 0.048713
0.000000 0.048780
0.000000 0.049064
0.000000 0.049098
0.000000 0.049114
0.000000 0.049215
0.000000 0.049231
0.000000 0.049265
0.000000 0.049348
0.000000 0.049382
0.000000 0.049465
0.000000 0.049499
0.000000 0.050017
0.000000 0.050084
0.000000 0.050284
0.000000 0.050318
0.000000 0.050401
0.000000 0.050468
0.000000 0.050685
0.000000 0.050719
0.000000 0.050752
0.000000 0.050785
0.000000 0.050836
0.000000 0.050869
0.000000 0.050902
0.000000 0.050936
0.000000 0.051153
0.000000 0.051186
0.000000 0.051220
0.000000 0.051253
0.000000 0.051270
0.000000 0.051303
0.000000 0.051521
0.000000 0.051554
0.000000 0.051654
0.000000 0.051688
0.000000 0.051788
0.000000 0.051822
0.000000 0.051905
0.000000 0.051939
0.000000 0.052005
0.000000 0.052039
0.000000 0.052089
0.000000 0.052122
0.000000 0.052239
0.000000 0.052273
0.000000 0.052406
0.000000 0.052440
0.000000 0.052557
0.000000 0.052590
0.000000 0.052607
0.000000 0.052640
0.000000 0.052707
0.000000 0.052741
0.000000 0.052807
0.000000 0.052841
0.000000 0.052975
0.000000 0.053008
0.000000 0.053025
0.000000 0.053058
0.000000 0.053092
0.000000 0.053125
0.000000 0.053175
0.000000 0.053242
0.000000 0.053459
0.000000 0.053493
0.000000 0.053526
0.000000 0.053559
0.000000 0.053760
0.000000 0.053793
0.000000 0.053844
0.000000 0.053877
0.000000 0.053994
0.000000 0.054027
0.000000 0.054278
0.000000 0.054311
0.000000 0.054378
0.000000 0.054412
0.000000 0.054428
0.000000 0.054462
0.000000 0.054763
0.000000 0.054796
0.000000 0.054846
0.000000 0.054880
0.000000 0.054963
0.000000 0.054997
0.000000 0.055013
0.000000 0.055047
0.000000 0.055197
0.000000 0.055231
0.000000 0.055281
0.000000 0.055314
0.000000 0.055398
0.000000 0.055431
0.000000 0.055498
