# FPR TPR
0.000000 0.035879
0.000000 0.035912
0.000000 0.036063
0.000000 0.036096
0.000000 0.036146
0.000000 0.036180
0.000000 0.036614
0.000000 0.036715
0.000000 0.036765
0.000000 0.036798
0.000000 0.036848
0.000000 0.036882
0.000000 0.037751
0.000000 0.037801
0.000000 0.037868
0.000000 0.037901
0.000000 0.038118
0.000000 0.038152
0.000000 0.038570
0.000000 0.038603
0.000000 0.038720
0.000000 0.038770
0.000000 0.038803
0.000000 0.038870
0.000000 0.038904
0.000000 0.038971
0.000000 0.039004
0.000000 0.039021
0.000000 0.039054
0.000000 0.039171
0.000000 0.039205
0.000000 0.039221
0.000000 0.039288
0.000000 0.039455
0.000000 0.039505
0.000000 0.039572
0.000000 0.039606
0.000000 0.039890
0.000000 0.039923
0.000000 0.040174
0.000000 0.040224
0.000000 0.040241
0.000000 0.040274
0.000000 0.040341
0.000000 0.040374
0.000000 0.040424
0.000000 0.040475
0.000000 0.040491
0.000000 0.040525
0.000000 0.040541
0.000000 0.040575
0.000000 0.040592
0.000000 0.040625
0.000000 0.040658
0.000000 0.040692
0.000000 0.040826
0.000000 0.040959
0.000000 0.041043
0.000000 0.041110
0.000000 0.041160
0.000000 0.041193
0.000000 0.041227
0.000000 0.041260
0.000000 0.041527
0.000000 0.041578
0.000000 0.041862
0.000000 0.041895
0.000000 0.041962
0.000000 0.041995
0.000000 0.042045
0.000000 0.042079
0.000000 0.042096
0.000000 0.042129
0.000000 0.042513
0.000000 0.042547
0.000000 0.042580
0.000000 0.042614
0.000000 0.042747
0.000000 0.042781
0.000000 0.042797
0.000000 0.042898
0.000000 0.042931
0.000000 0.042965
0.000000 0.043031
0.000000 0.043132
0.000000 0.043165
0.000000 0.043199
0.000000 0.043249
0.000000 0.043265
0.000000 0.043299
0.000000 0.043382
0.000000 0.043416
0.000000 0.043549
0.000000 0.043583
0.000000 0.043934
0.000000 0.043967
0.000000 0.044101
0.000000 0.044134
0.000000 0.044168
0.000000 0.044201
0.000000 0.044218
0.000000 0.044268
0.000000 0.044469
0.000000 0.044502
0.000000 0.044519
0.000000 0.044552
0.000000 0.044652
0.000000 0.044686
0.000000 0.045003
0.000000 0.045037
0.000000 0.045053
0.000000 0.045087
0.000000 0.045471
0.000000 0.045505
0.000000 0.045572
0.000000 0.045605
0.000000 0.045655
0.000000 0.045689
0.000000 0.045755
0.000000 0.045789
0.000000 0.045906
0.000000 0.045973
0.000000 0.046207
0.000000 0.046240
0.000000 0.046290
0.000000 0.046390
0.000000 0.046741
0.000000 0.046808
0.000000 0.046825
0.000000 0.046858
0.000000 0.046892
0.000000 0.046925
0.000000 0.046942
0.000000 0.047009
0.000000 0.047042
0.000000 0.047076
0.000000 0.047092
0.000000 0.047126
0.000000 0.047142
0.000000 0.047176
0.000000 0.047259
0.000000 0.047293
0.000000 0.047309
0.000000 0.047410
0.000000 0.047426
0.000000 0.047493
0.000000 0.047543
0.000000 0.047577
0.000000 0.047644
0.000000 0.047677
0.000000 0.047744
0.000000 0.047777
0.000000 0.047828
0.000000 0.047861
0.000000 0.047878
0.000000 0.047911
0.000000 0.048145
0.000000 0.048178
0.000000 0.048279
0.000000 0.048312
0.000000 0.048346
0.000000 0.048379
0.000000 0.048396
0.000000 0.048429
0.000000 0.048479
0.000000 0.048513
0.000000 0.048730
0.000000 0.048763
0.000000 0.048780
0.000000 0.048814
0.000000 0.048864
0.000000 0.048947
0.000000 0.049047
0.000000 0.049064
0.000000 0.049098
0.000000 0.049231
0.000000 0.049265
0.000000 0.049298
0.000000 0.049332
0.000000 0.049482
0.000000 0.049515
0.000000 0.049549
0.000000 0.049582
0.000000 0.049833
0.000000 0.049883
0.000000 0.049950
0.000000 0.049967
0.000000 0.050000
0.000000 0.050017
0.000000 0.050050
0.000000 0.050201
0.000000 0.050234
0.000000 0.050635
0.000000 0.050702
0.000000 0.050752
0.000000 0.050785
0.000000 0.051070
0.000000 0.051103
0.000000 0.051136
0.000000 0.051170
0.000000 0.051186
0.000000 0.051220
0.000000 0.051487
0.000000 0.051521
0.000000 0.051604
0.000000 0.051654
0.000000 0.051822
0.000000 0.051855
0.000000 0.051939
0.000000 0.051972
